"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1516","Check displaying of empty courses list","LMS system","Sun Jun 07 19:20:28 UTC 2026","passed","Sun Jun 07 19:20:29 UTC 2026","Courses","Courses","",""
"","1","test_logout","tests.pytest","Sun Jun 07 19:20:33 UTC 2026","passed","Sun Jun 07 19:20:33 UTC 2026","TestUserAuthentication","test_markers","",""
"","2090","Check displaying of dashboard page","LMS system","Sun Jun 07 19:20:31 UTC 2026","passed","Sun Jun 07 19:20:33 UTC 2026","Dashboard","Dashboard","",""
"","1608","Navigation from login page to registration page","LMS system","Sun Jun 07 19:20:25 UTC 2026","passed","Sun Jun 07 19:20:27 UTC 2026","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","Sun Jun 07 19:20:33 UTC 2026","passed","Sun Jun 07 19:20:33 UTC 2026","TestUserAuthentication","test_markers","",""
"","1523","Attempt to login with email: user.name@gmail.com","LMS system","Sun Jun 07 19:20:20 UTC 2026","passed","Sun Jun 07 19:20:22 UTC 2026","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Sun Jun 07 19:20:33 UTC 2026","passed","Sun Jun 07 19:20:33 UTC 2026","","test_markers","",""
"","1448","Attempt to login with email:   ","LMS system","Sun Jun 07 19:20:22 UTC 2026","passed","Sun Jun 07 19:20:24 UTC 2026","Authorization","Authentication","",""
"","1","test_login","tests.pytest","Sun Jun 07 19:20:34 UTC 2026","passed","Sun Jun 07 19:20:34 UTC 2026","TestUserAuthentication","test_markers","",""
"","1971","Attempt to login with email: user.name@gmail.com","LMS system","Sun Jun 07 19:20:18 UTC 2026","passed","Sun Jun 07 19:20:20 UTC 2026","Authorization","Authentication","",""
"","7004","User login with correct email and password","LMS system","Sun Jun 07 19:20:18 UTC 2026","passed","Sun Jun 07 19:20:25 UTC 2026","Authorization","Authentication","",""
"","3289","Edit course","LMS system","Sun Jun 07 19:20:29 UTC 2026","passed","Sun Jun 07 19:20:33 UTC 2026","Courses","Courses","",""
"","2004","Registration with correct email, username and password","LMS system","Sun Jun 07 19:20:24 UTC 2026","passed","Sun Jun 07 19:20:26 UTC 2026","Registration","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Sun Jun 07 19:20:33 UTC 2026","passed","Sun Jun 07 19:20:33 UTC 2026","TestUserInterface","test_markers","",""
"","1","test_regression_case","tests.pytest","Sun Jun 07 19:20:33 UTC 2026","passed","Sun Jun 07 19:20:33 UTC 2026","","test_markers","",""
"","2313","Create course","LMS system","Sun Jun 07 19:20:28 UTC 2026","passed","Sun Jun 07 19:20:31 UTC 2026","Courses","Courses","",""
