"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1627","Attempt to login with email: user.name@gmail.com","LMS system","Sun Jun 07 19:15:22 UTC 2026","passed","Sun Jun 07 19:15:23 UTC 2026","Authorization","Authentication","",""
"","1989","Registration with correct email, username and password","LMS system","Sun Jun 07 19:15:25 UTC 2026","passed","Sun Jun 07 19:15:27 UTC 2026","Registration","Authentication","",""
"","0","test_logout","tests.pytest","Sun Jun 07 19:15:35 UTC 2026","passed","Sun Jun 07 19:15:35 UTC 2026","TestUserAuthentication","test_markers","",""
"","3199","Edit course","LMS system","Sun Jun 07 19:15:31 UTC 2026","passed","Sun Jun 07 19:15:34 UTC 2026","Courses","Courses","",""
"","1657","Navigation from login page to registration page","LMS system","Sun Jun 07 19:15:27 UTC 2026","passed","Sun Jun 07 19:15:28 UTC 2026","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","Sun Jun 07 19:15:35 UTC 2026","passed","Sun Jun 07 19:15:35 UTC 2026","","test_markers","",""
"","0","test_login","tests.pytest","Sun Jun 07 19:15:35 UTC 2026","passed","Sun Jun 07 19:15:35 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","Sun Jun 07 19:15:35 UTC 2026","passed","Sun Jun 07 19:15:35 UTC 2026","TestUserInterface","test_markers","",""
"","0","test_critical_login","tests.pytest","Sun Jun 07 19:15:35 UTC 2026","passed","Sun Jun 07 19:15:35 UTC 2026","","test_markers","",""
"","6997","User login with correct email and password","LMS system","Sun Jun 07 19:15:19 UTC 2026","passed","Sun Jun 07 19:15:26 UTC 2026","Authorization","Authentication","",""
"","1946","Attempt to login with email: user.name@gmail.com","LMS system","Sun Jun 07 19:15:19 UTC 2026","passed","Sun Jun 07 19:15:21 UTC 2026","Authorization","Authentication","",""
"","1433","Attempt to login with email:   ","LMS system","Sun Jun 07 19:15:24 UTC 2026","passed","Sun Jun 07 19:15:25 UTC 2026","Authorization","Authentication","",""
"","2633","Create course","LMS system","Sun Jun 07 19:15:30 UTC 2026","passed","Sun Jun 07 19:15:33 UTC 2026","Courses","Courses","",""
"","1481","Check displaying of empty courses list","LMS system","Sun Jun 07 19:15:29 UTC 2026","passed","Sun Jun 07 19:15:31 UTC 2026","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","Sun Jun 07 19:15:35 UTC 2026","passed","Sun Jun 07 19:15:35 UTC 2026","TestUserAuthentication","test_markers","",""
"","1927","Check displaying of dashboard page","LMS system","Sun Jun 07 19:15:33 UTC 2026","passed","Sun Jun 07 19:15:35 UTC 2026","Dashboard","Dashboard","",""
